2025-08-29 18:29:23,279 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-08-29 18:29:23,288] A new study created in memory with name: no-name-b793232a-273b-4537-9ff1-d3a96b04ad6c
[I 2025-08-29 18:30:20,996] Trial 7 finished with values: [-0.004130030118808081, 0.00414372402145237] and parameters: {'p_sma': 11, 'p_std': 42, 'p_atr': 11, 'p_adx': 23, 'rsi_period': 56, 'ema1': 15, 'ema2': 60, 'slip_atr_k': 0.12277550218553307, 'slip_spread_k': 0.5574011233909947, 'spread_hl_frac': 0.0011155419376691512, 'bb_std_mult': 1.7793201715234577, 'rsi_os': 23, 'rsi_ob': 45, 'vol_spike': 0.09040744847367158, 'adx_thresh': 12.606596475272813, 'atr_min_pct': 0.003861995621333871, 'atr_max_pct': 0.015841730931191216, 'tp_mult': 2.5238708722306185, 'tsl_mult': 0.0032453457209339343, 'strategy': 'breakout', 'time_stop': 42, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.4008851941765008, 'edge_cap': 0.21922972517954883}.
[I 2025-08-29 18:30:48,641] Trial 12 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 26, 'p_std': 53, 'p_atr': 28, 'p_adx': 18, 'rsi_period': 31, 'ema1': 12, 'ema2': 16, 'slip_atr_k': 0.24584170180663417, 'slip_spread_k': 0.6932698685390267, 'spread_hl_frac': 0.020575466525368374, 'bb_std_mult': 3.394201865100884, 'rsi_os': 38, 'rsi_ob': 95, 'vol_spike': 0.06768292714726891, 'adx_thresh': 18.22273474332914, 'atr_min_pct': 0.018675774083827836, 'atr_max_pct': 0.1481568596107593, 'tp_mult': 1.1561551346378691, 'tsl_mult': 0.8143044070230403, 'strategy': 'mean_reversion', 'time_stop': 256, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.42123363633484545, 'edge_cap': 0.312670784405727}.
[I 2025-08-29 18:30:49,843] Trial 13 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 25, 'p_std': 6, 'p_atr': 14, 'p_adx': 14, 'rsi_period': 29, 'ema1': 5, 'ema2': 60, 'slip_atr_k': 0.21313633424036932, 'slip_spread_k': 0.1740129590028195, 'spread_hl_frac': 0.017435673685602168, 'bb_std_mult': 0.5010952959414852, 'rsi_os': 40, 'rsi_ob': 91, 'vol_spike': 0.1271589079912254, 'adx_thresh': 5.0769358791951245, 'atr_min_pct': 0.02837699557017595, 'atr_max_pct': 0.042136595110271596, 'tp_mult': 2.9619330227218237, 'tsl_mult': 0.5896406372838546, 'strategy': 'breakout', 'time_stop': 252, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.3065481215505987, 'edge_cap': 0.3891993928367472}.
[I 2025-08-29 18:30:50,220] Trial 14 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 24, 'p_std': 59, 'p_atr': 15, 'p_adx': 14, 'rsi_period': 26, 'ema1': 6, 'ema2': 60, 'slip_atr_k': 0.2399499352078646, 'slip_spread_k': 0.18995007904813666, 'spread_hl_frac': 0.01926703637619704, 'bb_std_mult': 0.5005718972919371, 'rsi_os': 21, 'rsi_ob': 95, 'vol_spike': 0.10181156658720639, 'adx_thresh': 6.80600660713451, 'atr_min_pct': 0.02989973201265131, 'atr_max_pct': 0.052196924816420534, 'tp_mult': 2.841080532702808, 'tsl_mult': 0.6418456618788068, 'strategy': 'mean_reversion', 'time_stop': 93, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.3152341658156814, 'edge_cap': 0.41932047892825614}.
[I 2025-08-29 18:30:50,664] Trial 15 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 24, 'p_std': 52, 'p_atr': 14, 'p_adx': 23, 'rsi_period': 52, 'ema1': 5, 'ema2': 60, 'slip_atr_k': 0.24547717107826297, 'slip_spread_k': 0.6823965437006777, 'spread_hl_frac': 0.01263015302870299, 'bb_std_mult': 0.6454777829395086, 'rsi_os': 19, 'rsi_ob': 61, 'vol_spike': 0.10210194183386963, 'adx_thresh': 5.017820555091801, 'atr_min_pct': 0.029150690120765578, 'atr_max_pct': 0.038914095954847995, 'tp_mult': 2.973314081441033, 'tsl_mult': 0.012410042037896038, 'strategy': 'breakout', 'time_stop': 100, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.2453846081978104, 'edge_cap': 0.38696865610214404}.
[I 2025-08-29 18:31:17,854] Trial 16 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 18, 'p_std': 33, 'p_atr': 15, 'p_adx': 24, 'rsi_period': 53, 'ema1': 7, 'ema2': 60, 'slip_atr_k': 0.08303757092286777, 'slip_spread_k': 0.6605473276527526, 'spread_hl_frac': 0.013951051061019161, 'bb_std_mult': 0.5697174610605975, 'rsi_os': 22, 'rsi_ob': 60, 'vol_spike': 0.11501980631128506, 'adx_thresh': 6.298583466998325, 'atr_min_pct': 0.02995278877220528, 'atr_max_pct': 0.03991002333057087, 'tp_mult': 2.9611103652517183, 'tsl_mult': 0.6036519310338442, 'strategy': 'breakout', 'time_stop': 12, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.2644071994977986, 'edge_cap': 0.39823641256962766}.
[I 2025-08-29 18:31:18,621] Trial 17 finished with values: [-0.034641908951818734, 0.03463566951045168] and parameters: {'p_sma': 19, 'p_std': 34, 'p_atr': 15, 'p_adx': 23, 'rsi_period': 53, 'ema1': 23, 'ema2': 51, 'slip_atr_k': 0.07026257375025469, 'slip_spread_k': 0.65158677503074, 'spread_hl_frac': 0.009433958315116965, 'bb_std_mult': 1.681156350717612, 'rsi_os': 21, 'rsi_ob': 60, 'vol_spike': 0.11584858897044885, 'adx_thresh': 12.927666904243951, 'atr_min_pct': 5.645299160099383e-05, 'atr_max_pct': 0.03133890918770335, 'tp_mult': 2.4673382300676368, 'tsl_mult': 0.10096441446647271, 'strategy': 'breakout', 'time_stop': 104, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.198678530744948, 'edge_cap': 0.4128244123713471}.
[I 2025-08-29 18:31:19,005] Trial 18 finished with values: [-0.009653879171851232, 0.00965494381550278] and parameters: {'p_sma': 17, 'p_std': 31, 'p_atr': 10, 'p_adx': 23, 'rsi_period': 52, 'ema1': 22, 'ema2': 51, 'slip_atr_k': 0.06620491471665373, 'slip_spread_k': 0.593001285333413, 'spread_hl_frac': 0.011334428578315348, 'bb_std_mult': 1.6955510775120934, 'rsi_os': 23, 'rsi_ob': 59, 'vol_spike': 0.016486349919760057, 'adx_thresh': 14.226452726051535, 'atr_min_pct': 0.0024861066263669332, 'atr_max_pct': 0.03662810733225324, 'tp_mult': 2.474720706514072, 'tsl_mult': 0.07843212206935732, 'strategy': 'breakout', 'time_stop': 10, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.1436885877171097, 'edge_cap': 0.4615759912506507}.
[I 2025-08-29 18:31:19,391] Trial 22 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 5, 'p_std': 50, 'p_atr': 7, 'p_adx': 20, 'rsi_period': 73, 'ema1': 16, 'ema2': 50, 'slip_atr_k': 0.15404814657372037, 'slip_spread_k': 0.9621966178939122, 'spread_hl_frac': 0.030242421666385206, 'bb_std_mult': 2.0684894237264, 'rsi_os': 32, 'rsi_ob': 53, 'vol_spike': 0.006669259298456118, 'adx_thresh': 15.257248422382556, 'atr_min_pct': 0.024727673008307915, 'atr_max_pct': 0.02464486032606561, 'tp_mult': 2.4085132379811545, 'tsl_mult': 0.0006488011220881162, 'strategy': 'breakout', 'time_stop': 208, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.0107880607729365, 'edge_cap': 0.7790428919936098}.
[I 2025-08-29 18:31:19,749] Trial 19 finished with values: [-0.0005354728121045316, 0.0007998171752785064] and parameters: {'p_sma': 5, 'p_std': 34, 'p_atr': 10, 'p_adx': 22, 'rsi_period': 71, 'ema1': 24, 'ema2': 51, 'slip_atr_k': 0.0696383153640486, 'slip_spread_k': 0.634098681717353, 'spread_hl_frac': 0.030950403236593392, 'bb_std_mult': 1.7501959026125724, 'rsi_os': 24, 'rsi_ob': 58, 'vol_spike': 0.04343446399702945, 'adx_thresh': 14.06873714834155, 'atr_min_pct': 0.0026324351141866972, 'atr_max_pct': 0.024801570984537162, 'tp_mult': 2.4705432456009357, 'tsl_mult': 0.27651096612956216, 'strategy': 'breakout', 'time_stop': 15, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.020385137153215993, 'edge_cap': 0.7432371570422356}.
