2025-08-29 21:39:56,032 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-08-29 21:39:56,044] A new study created in memory with name: no-name-0b51c4fa-ca12-414a-8214-47e1c9ef3da0
[I 2025-08-29 21:41:20,217] Trial 11 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 21, 'p_std': 33, 'p_atr': 18, 'p_adx': 18, 'rsi_period': 49, 'ema1': 15, 'ema2': 23, 'slip_atr_k': 0.24787878926237045, 'slip_spread_k': 0.39124696055179364, 'spread_hl_frac': 0.011931369931768483, 'bb_std_mult': 3.366037430239212, 'rsi_os': 26, 'rsi_ob': 89, 'vol_spike': 0.21533783970874829, 'adx_thresh': 7.645513034999166, 'atr_min_pct': 0.01836739548563304, 'atr_max_pct': 0.14174058729473762, 'tp_mult': 2.674115940159532, 'tsl_mult': 0.5563081410900477, 'strategy': 'mean_reversion', 'time_stop': 243, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.1896597936114537, 'edge_cap': 0.8410516858430874}.
[I 2025-08-29 21:41:44,773] Trial 12 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 49, 'p_std': 37, 'p_atr': 9, 'p_adx': 19, 'rsi_period': 26, 'ema1': 24, 'ema2': 18, 'slip_atr_k': 0.012350738589175236, 'slip_spread_k': 0.06082029148392132, 'spread_hl_frac': 0.04628839770365825, 'bb_std_mult': 1.5030105866295513, 'rsi_os': 40, 'rsi_ob': 95, 'vol_spike': 0.16920983804717818, 'adx_thresh': 8.707006226929996, 'atr_min_pct': 0.007322041126916088, 'atr_max_pct': 0.07407574890967131, 'tp_mult': 2.6421475754130617, 'tsl_mult': 0.46199119417508405, 'strategy': 'mean_reversion', 'time_stop': 187, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.9255281445541832, 'edge_cap': 0.6812548368540359}.
[I 2025-08-29 21:41:45,931] Trial 13 finished with values: [-0.01223964141797873, 0.012312151567586048] and parameters: {'p_sma': 21, 'p_std': 16, 'p_atr': 20, 'p_adx': 11, 'rsi_period': 84, 'ema1': 12, 'ema2': 28, 'slip_atr_k': 0.021492634874247518, 'slip_spread_k': 0.00832157468500716, 'spread_hl_frac': 0.047965043753615245, 'bb_std_mult': 0.6691180228985174, 'rsi_os': 55, 'rsi_ob': 45, 'vol_spike': 0.0781256640241209, 'adx_thresh': 11.540810874016174, 'atr_min_pct': 0.002055502025048997, 'atr_max_pct': 0.013183201682972087, 'tp_mult': 2.274651070287297, 'tsl_mult': 0.1825096496007031, 'strategy': 'breakout', 'time_stop': 9, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.8174889305008127, 'edge_cap': 0.3199469984026973}.
[I 2025-08-29 21:41:46,782] Trial 14 finished with values: [-0.035136049948765846, 0.03512491577861504] and parameters: {'p_sma': 24, 'p_std': 19, 'p_atr': 15, 'p_adx': 8, 'rsi_period': 64, 'ema1': 23, 'ema2': 27, 'slip_atr_k': 0.01607054878004155, 'slip_spread_k': 0.02890003357827886, 'spread_hl_frac': 0.04607955169442844, 'bb_std_mult': 0.5310826118012664, 'rsi_os': 53, 'rsi_ob': 50, 'vol_spike': 0.0166597018474465, 'adx_thresh': 24.87077037457538, 'atr_min_pct': 0.0008705584311284307, 'atr_max_pct': 0.010053656429159494, 'tp_mult': 2.348621308165783, 'tsl_mult': 0.24191571373997728, 'strategy': 'breakout', 'time_stop': 11, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.86127161674962, 'edge_cap': 0.2553102354435091}.
[I 2025-08-29 21:41:47,458] Trial 15 finished with values: [-0.03523509702105254, 0.03522482842790242] and parameters: {'p_sma': 6, 'p_std': 18, 'p_atr': 13, 'p_adx': 7, 'rsi_period': 66, 'ema1': 24, 'ema2': 32, 'slip_atr_k': 0.03100342731886942, 'slip_spread_k': 0.019854934504637933, 'spread_hl_frac': 0.04562239949333335, 'bb_std_mult': 2.3052505700670056, 'rsi_os': 55, 'rsi_ob': 47, 'vol_spike': 0.006241652727627195, 'adx_thresh': 25.690727733343742, 'atr_min_pct': 0.0003318723943353651, 'atr_max_pct': 0.015563779151390601, 'tp_mult': 2.212970421713738, 'tsl_mult': 0.23409814342375823, 'strategy': 'breakout', 'time_stop': 16, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.7673239284596995, 'edge_cap': 0.26396861262823884}.
[I 2025-08-29 21:42:11,943] Trial 16 finished with values: [-0.05025065404934215, 0.050239818712727265] and parameters: {'p_sma': 23, 'p_std': 13, 'p_atr': 13, 'p_adx': 8, 'rsi_period': 66, 'ema1': 23, 'ema2': 32, 'slip_atr_k': 0.046164153510567706, 'slip_spread_k': 0.6863535346760958, 'spread_hl_frac': 0.0001894849448980246, 'bb_std_mult': 2.3258451286959283, 'rsi_os': 54, 'rsi_ob': 45, 'vol_spike': 0.008726124158027457, 'adx_thresh': 25.743283054061184, 'atr_min_pct': 0.0007378999506080844, 'atr_max_pct': 0.01399535761915164, 'tp_mult': 2.221254030527764, 'tsl_mult': 0.24228726641357817, 'strategy': 'breakout', 'time_stop': 16, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.8547426298659404, 'edge_cap': 0.27437096278555234}.
[I 2025-08-29 21:42:13,254] Trial 17 finished with values: [-0.05176683824446171, 0.05175555093585474] and parameters: {'p_sma': 25, 'p_std': 19, 'p_atr': 22, 'p_adx': 8, 'rsi_period': 64, 'ema1': 13, 'ema2': 33, 'slip_atr_k': 0.05556620732032433, 'slip_spread_k': 0.0001729608740264118, 'spread_hl_frac': 0.04941222520913498, 'bb_std_mult': 0.6552426552442605, 'rsi_os': 54, 'rsi_ob': 45, 'vol_spike': 0.07972335291345338, 'adx_thresh': 13.109339700002478, 'atr_min_pct': 0.0006162683243312011, 'atr_max_pct': 0.011628600819440916, 'tp_mult': 2.258201730065752, 'tsl_mult': 0.1500519314542223, 'strategy': 'breakout', 'time_stop': 10, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.8537470956834896, 'edge_cap': 0.34915565722222386}.
[I 2025-08-29 21:42:13,931] Trial 18 finished with values: [-0.048377260084839335, 0.04836576946144454] and parameters: {'p_sma': 24, 'p_std': 24, 'p_atr': 21, 'p_adx': 8, 'rsi_period': 61, 'ema1': 13, 'ema2': 34, 'slip_atr_k': 0.061590658197355624, 'slip_spread_k': 0.07001894635205835, 'spread_hl_frac': 0.04969382721896333, 'bb_std_mult': 0.5114106182482994, 'rsi_os': 53, 'rsi_ob': 45, 'vol_spike': 0.08790594691948195, 'adx_thresh': 13.212902674760638, 'atr_min_pct': 0.0007267469796601944, 'atr_max_pct': 0.010205141455608996, 'tp_mult': 2.173608750446781, 'tsl_mult': 0.09596823768325558, 'strategy': 'breakout', 'time_stop': 7, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.8293739289888159, 'edge_cap': 0.39090334847197983}.
[I 2025-08-29 21:42:14,631] Trial 19 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 26, 'p_std': 24, 'p_atr': 22, 'p_adx': 11, 'rsi_period': 63, 'ema1': 13, 'ema2': 27, 'slip_atr_k': 0.06671149031342036, 'slip_spread_k': 0.16462750556308625, 'spread_hl_frac': 0.04013619793846203, 'bb_std_mult': 0.5977558791847999, 'rsi_os': 55, 'rsi_ob': 47, 'vol_spike': 0.0881922647653782, 'adx_thresh': 13.528053615497452, 'atr_min_pct': 0.011946307208930095, 'atr_max_pct': 0.03334105876594757, 'tp_mult': 2.276787955071154, 'tsl_mult': 0.011600387840083215, 'strategy': 'breakout', 'time_stop': 10, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.045524483320785, 'edge_cap': 0.44683273481995117}.
[I 2025-08-29 21:42:38,933] Trial 20 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 27, 'p_std': 24, 'p_atr': 22, 'p_adx': 11, 'rsi_period': 40, 'ema1': 12, 'ema2': 25, 'slip_atr_k': 0.07654563290529168, 'slip_spread_k': 0.16474112917107497, 'spread_hl_frac': 0.03970094816663373, 'bb_std_mult': 0.6588988406615257, 'rsi_os': 42, 'rsi_ob': 65, 'vol_spike': 0.08460359220132915, 'adx_thresh': 12.838966899285722, 'atr_min_pct': 0.012217429069606614, 'atr_max_pct': 0.03400874905380501, 'tp_mult': 2.4046394304812724, 'tsl_mult': 0.04327569901415701, 'strategy': 'breakout', 'time_stop': 48, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.002420200336054, 'edge_cap': 0.4171020207130707}.
[I 2025-08-29 21:42:40,753] Trial 21 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 34, 'p_std': 26, 'p_atr': 22, 'p_adx': 11, 'rsi_period': 80, 'ema1': 11, 'ema2': 25, 'slip_atr_k': 0.08463412383622626, 'slip_spread_k': 0.16598363668925167, 'spread_hl_frac': 0.040718529711855626, 'bb_std_mult': 0.6137090327760564, 'rsi_os': 42, 'rsi_ob': 65, 'vol_spike': 0.10013455800468311, 'adx_thresh': 11.717594013262447, 'atr_min_pct': 0.01135767716161883, 'atr_max_pct': 0.034460518512677576, 'tp_mult': 1.6836089153547633, 'tsl_mult': 0.002737666460494781, 'strategy': 'breakout', 'time_stop': 48, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.1060203095519148, 'edge_cap': 0.5281759839251957}.
