2025-08-29 16:46:13,565 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-08-29 16:46:13,575] A new study created in memory with name: no-name-27a115df-8736-47a0-8f41-4613aa649fab
[I 2025-08-29 16:47:40,298] Trial 11 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 12, 'p_std': 10, 'p_atr': 22, 'p_adx': 25, 'rsi_period': 68, 'ema1': 23, 'ema2': 21, 'slip_atr_k': 0.17471366951183437, 'slip_spread_k': 0.07755026410169785, 'spread_hl_frac': 0.02768013382712399, 'bb_std_mult': 0.6010831542326054, 'rsi_os': 33, 'rsi_ob': 93, 'vol_spike': 0.090410913448095, 'adx_thresh': 12.112359510916079, 'atr_min_pct': 0.004206573801553695, 'atr_max_pct': 0.11211815198953853, 'tp_mult': 2.4309177392413237, 'tsl_mult': 0.14965938435144843, 'strategy': 'breakout', 'time_stop': 278, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.3628027576810584, 'edge_cap': 0.6799653017761618}.
[I 2025-08-29 16:47:41,117] Trial 13 finished with values: [-0.00710401823858553, 0.007150926008170815] and parameters: {'p_sma': 32, 'p_std': 24, 'p_atr': 17, 'p_adx': 24, 'rsi_period': 56, 'ema1': 16, 'ema2': 21, 'slip_atr_k': 0.005451626413290875, 'slip_spread_k': 0.020210480734234204, 'spread_hl_frac': 0.01385631008337753, 'bb_std_mult': 1.607249527633651, 'rsi_os': 6, 'rsi_ob': 70, 'vol_spike': 0.09428765069050746, 'adx_thresh': 7.012974435722066, 'atr_min_pct': 0.0007071915996709095, 'atr_max_pct': 0.14954399093341808, 'tp_mult': 1.590116130065503, 'tsl_mult': 0.8686334936748803, 'strategy': 'breakout', 'time_stop': 93, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.13970574272426003, 'edge_cap': 0.41346641042202936}.
[I 2025-08-29 16:47:41,215] Trial 12 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 6, 'p_std': 16, 'p_atr': 27, 'p_adx': 12, 'rsi_period': 16, 'ema1': 29, 'ema2': 10, 'slip_atr_k': 0.07260215519045043, 'slip_spread_k': 0.8153111218683929, 'spread_hl_frac': 0.019229280078814272, 'bb_std_mult': 1.6468224291653268, 'rsi_os': 7, 'rsi_ob': 65, 'vol_spike': 0.18375491883817235, 'adx_thresh': 22.302432082000042, 'atr_min_pct': 0.007456667011296587, 'atr_max_pct': 0.04020436937721972, 'tp_mult': 2.0159479981256454, 'tsl_mult': 0.048145845958676214, 'strategy': 'mean_reversion', 'time_stop': 66, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.7669114047181937, 'edge_cap': 0.5258692148902991}.
[I 2025-08-29 16:48:05,694] Trial 14 finished with values: [-0.006878194030387363, 0.0069295045987051085] and parameters: {'p_sma': 27, 'p_std': 23, 'p_atr': 18, 'p_adx': 24, 'rsi_period': 53, 'ema1': 7, 'ema2': 22, 'slip_atr_k': 0.004764860794913062, 'slip_spread_k': 0.09225014479869015, 'spread_hl_frac': 0.04893767331152185, 'bb_std_mult': 2.5938618519905012, 'rsi_os': 9, 'rsi_ob': 71, 'vol_spike': 0.11296303103255023, 'adx_thresh': 14.173352069749576, 'atr_min_pct': 0.0005519534516138808, 'atr_max_pct': 0.14428047301723412, 'tp_mult': 1.7290263059506745, 'tsl_mult': 0.9248732110508462, 'strategy': 'breakout', 'time_stop': 95, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.03834538294569434, 'edge_cap': 0.3722158954393492}.
[I 2025-08-29 16:48:09,400] Trial 15 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 26, 'p_std': 24, 'p_atr': 17, 'p_adx': 14, 'rsi_period': 8, 'ema1': 6, 'ema2': 55, 'slip_atr_k': 0.010802714445029851, 'slip_spread_k': 0.971771693767968, 'spread_hl_frac': 0.0471275017663665, 'bb_std_mult': 2.647747404185197, 'rsi_os': 9, 'rsi_ob': 71, 'vol_spike': 0.11363904613378281, 'adx_thresh': 15.153619886705565, 'atr_min_pct': 0.02918654947449049, 'atr_max_pct': 0.1485202302208431, 'tp_mult': 1.7475915847383132, 'tsl_mult': 0.9747528356280715, 'strategy': 'breakout', 'time_stop': 99, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.6260652904601955, 'edge_cap': 0.450201999643528}.
[I 2025-08-29 16:48:09,929] Trial 17 finished with values: [-0.0070258847154706094, 0.0070682659898614955] and parameters: {'p_sma': 30, 'p_std': 24, 'p_atr': 16, 'p_adx': 23, 'rsi_period': 51, 'ema1': 17, 'ema2': 23, 'slip_atr_k': 2.5168078247719827e-05, 'slip_spread_k': 0.026097079338524096, 'spread_hl_frac': 0.011273364350826726, 'bb_std_mult': 2.6243349809516, 'rsi_os': 5, 'rsi_ob': 70, 'vol_spike': 0.11959296446738862, 'adx_thresh': 10.888681314499696, 'atr_min_pct': 1.1126148222709254e-05, 'atr_max_pct': 0.14961309770374265, 'tp_mult': 1.5068504283800532, 'tsl_mult': 0.9891295264120122, 'strategy': 'breakout', 'time_stop': 130, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.03658766013394224, 'edge_cap': 0.40544846667021167}.
[I 2025-08-29 16:48:09,949] Trial 16 finished with values: [-0.007118005718906528, 0.0071601546722335156] and parameters: {'p_sma': 30, 'p_std': 23, 'p_atr': 16, 'p_adx': 23, 'rsi_period': 48, 'ema1': 18, 'ema2': 26, 'slip_atr_k': 0.002655619161440193, 'slip_spread_k': 0.00958121823621844, 'spread_hl_frac': 0.012456114408872287, 'bb_std_mult': 1.4689536494784403, 'rsi_os': 5, 'rsi_ob': 70, 'vol_spike': 0.12057921875851554, 'adx_thresh': 11.969510509313425, 'atr_min_pct': 3.0633614100604315e-05, 'atr_max_pct': 0.14679715650626343, 'tp_mult': 1.4991920228411857, 'tsl_mult': 0.977839481450261, 'strategy': 'breakout', 'time_stop': 94, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.002690148807638293, 'edge_cap': 0.43439804195450216}.
[I 2025-08-29 16:48:32,577] Trial 18 finished with values: [-0.006624975677879008, 0.006676848868305504] and parameters: {'p_sma': 30, 'p_std': 24, 'p_atr': 18, 'p_adx': 22, 'rsi_period': 56, 'ema1': 16, 'ema2': 25, 'slip_atr_k': 0.006273916100626652, 'slip_spread_k': 0.03401645851551884, 'spread_hl_frac': 0.04665670169553773, 'bb_std_mult': 2.7289164872291676, 'rsi_os': 6, 'rsi_ob': 75, 'vol_spike': 0.1264157827457562, 'adx_thresh': 16.435899418515287, 'atr_min_pct': 0.00019763426424230065, 'atr_max_pct': 0.10071547703002817, 'tp_mult': 1.5436240737583076, 'tsl_mult': 0.9553161101396622, 'strategy': 'breakout', 'time_stop': 118, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.5112911422575065, 'edge_cap': 0.32836782218302396}.
[I 2025-08-29 16:48:36,841] Trial 19 finished with values: [-0.02770576944144254, 0.027755466044627385] and parameters: {'p_sma': 38, 'p_std': 22, 'p_atr': 19, 'p_adx': 23, 'rsi_period': 55, 'ema1': 17, 'ema2': 26, 'slip_atr_k': 0.018539653943192375, 'slip_spread_k': 0.013711859790690228, 'spread_hl_frac': 0.04997469534011552, 'bb_std_mult': 2.8191656383917474, 'rsi_os': 40, 'rsi_ob': 75, 'vol_spike': 0.1545493711175926, 'adx_thresh': 19.01467654926704, 'atr_min_pct': 1.960721521611342e-05, 'atr_max_pct': 0.09801855495539243, 'tp_mult': 1.434113481451369, 'tsl_mult': 0.8197551863514101, 'strategy': 'breakout', 'time_stop': 149, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.02410031965956296, 'edge_cap': 0.3699595915300543}.
[I 2025-08-29 16:48:37,495] Trial 21 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 41, 'p_std': 17, 'p_atr': 20, 'p_adx': 22, 'rsi_period': 57, 'ema1': 10, 'ema2': 26, 'slip_atr_k': 0.24707089083927336, 'slip_spread_k': 0.15250839635747654, 'spread_hl_frac': 0.04956702248595673, 'bb_std_mult': 2.7000616566622186, 'rsi_os': 39, 'rsi_ob': 77, 'vol_spike': 0.1510287388429925, 'adx_thresh': 34.96044345941364, 'atr_min_pct': 0.017239669186504217, 'atr_max_pct': 0.09705012012094832, 'tp_mult': 1.4004482276091053, 'tsl_mult': 0.6273481306599495, 'strategy': 'breakout', 'time_stop': 153, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.6543413659678569, 'edge_cap': 0.30134873285231}.
