month,trades,wins,losses,win_rate,pnl_sum,pnl_mean,pnl_median,cum_pnl
2019-12-31,3,1,2,33.33,1.0431599999994918,0.3477199999998306,-0.5093879999999703,1.0431599999994918
2020-01-31,14,6,8,42.86,232.77006336000107,16.626433097142932,-0.07837970500000571,233.81322336000056
2020-02-29,11,4,7,36.36,-13.742488190001566,-1.2493171081819605,-1.614150639999918,220.070735169999
2020-03-31,13,7,6,53.85,260.64706228000284,20.04977402153868,0.1733804799999656,480.71779745000185
2020-04-30,18,10,8,55.56,108.85289148000156,6.047382860000087,0.45382634999988947,589.5706889300034
2020-05-31,10,4,6,40.0,-10.501085780001592,-1.050108578000159,-0.5300338500004118,579.0696031500017
2020-06-30,13,1,12,7.69,-32.93383657999657,-2.533372044615121,-9.088467299999568,546.1357665700052
2020-07-31,6,0,6,0.0,-19.475273589998647,-3.245878931666441,-1.6442360600001265,526.6604929800066
2020-08-31,9,2,7,22.22,61.38232261999805,6.8202580688886725,-3.5849271600002575,588.0428156000046
2020-09-30,25,10,15,40.0,222.77790808000364,8.911116323200146,-1.0643549199999542,810.8207236800082
2020-10-31,8,3,5,37.5,35.964871789999435,4.495608973749929,-0.6610918299999337,846.7855954700076
2020-11-30,8,3,5,37.5,-15.873599459994965,-1.9841999324993707,-2.624353889999249,830.9119960100127
