timestamp,open,high,low,close,volume
2025-07-09 12:00:00,153.74000000,154.63000000,153.33000000,154.36000000,104987.12400000
2025-07-09 12:30:00,154.37000000,154.47000000,153.86000000,154.06000000,71967.29600000
2025-07-09 13:00:00,154.06000000,154.88000000,154.02000000,154.21000000,94587.49900000
2025-07-09 13:30:00,154.21000000,154.58000000,153.61000000,153.77000000,107315.12000000
2025-07-09 14:00:00,153.76000000,155.53000000,153.32000000,154.05000000,138919.13800000
2025-07-09 14:30:00,154.05000000,154.09000000,152.87000000,153.74000000,131491.88400000
2025-07-09 15:00:00,153.74000000,154.55000000,153.37000000,153.75000000,42115.10300000
2025-07-09 15:30:00,153.75000000,154.31000000,153.64000000,153.97000000,53532.63800000
2025-07-09 16:00:00,153.98000000,154.83000000,153.66000000,154.31000000,60264.46300000
2025-07-09 16:30:00,154.31000000,155.02000000,154.27000000,154.87000000,49940.60400000
2025-07-09 17:00:00,154.87000000,154.92000000,153.64000000,153.83000000,48563.89700000
2025-07-09 17:30:00,153.83000000,153.87000000,153.23000000,153.64000000,31171.64700000
2025-07-09 18:00:00,153.65000000,155.28000000,153.56000000,155.03000000,87698.86800000
2025-07-09 18:30:00,155.02000000,155.04000000,154.28000000,154.66000000,39612.16400000
2025-07-09 19:00:00,154.65000000,155.96000000,154.58000000,155.82000000,61793.29900000
2025-07-09 19:30:00,155.81000000,157.86000000,155.53000000,157.27000000,244138.84900000
2025-07-09 20:00:00,157.26000000,157.52000000,155.46000000,155.76000000,134422.32000000
2025-07-09 20:30:00,155.75000000,156.70000000,155.46000000,156.04000000,71462.27000000
2025-07-09 21:00:00,156.03000000,157.59000000,156.00000000,157.26000000,60561.38600000
2025-07-09 21:30:00,157.27000000,157.30000000,156.74000000,156.75000000,36902.15100000
2025-07-09 22:00:00,156.74000000,157.93000000,156.74000000,157.33000000,52232.75300000
2025-07-09 22:30:00,157.34000000,157.77000000,157.29000000,157.66000000,35081.95100000
2025-07-09 23:00:00,157.66000000,157.93000000,157.22000000,157.24000000,42212.42200000
2025-07-09 23:30:00,157.25000000,157.76000000,157.00000000,157.05000000,32423.48400000
2025-07-10 00:00:00,157.06000000,157.52000000,156.64000000,156.64000000,26403.32900000
2025-07-10 00:30:00,156.64000000,156.92000000,155.93000000,155.94000000,49775.79700000
2025-07-10 01:00:00,155.94000000,157.00000000,155.93000000,156.98000000,38579.49900000
2025-07-10 01:30:00,156.97000000,157.87000000,156.97000000,157.61000000,40592.76100000
2025-07-10 02:00:00,157.62000000,159.34000000,157.61000000,158.51000000,95893.45800000
2025-07-10 02:30:00,158.51000000,158.90000000,158.08000000,158.31000000,29688.16500000
2025-07-10 03:00:00,158.30000000,158.37000000,157.66000000,157.71000000,24974.87700000
2025-07-10 03:30:00,157.72000000,157.79000000,157.22000000,157.35000000,31668.51600000
2025-07-10 04:00:00,157.35000000,157.46000000,156.88000000,157.29000000,27760.29700000
2025-07-10 04:30:00,157.29000000,157.71000000,157.29000000,157.67000000,20528.58900000
2025-07-10 05:00:00,157.68000000,157.79000000,157.14000000,157.39000000,27978.37300000
2025-07-10 05:30:00,157.39000000,157.42000000,156.95000000,157.25000000,30765.52700000
2025-07-10 06:00:00,157.25000000,157.45000000,156.67000000,157.27000000,38348.91300000
2025-07-10 06:30:00,157.28000000,157.49000000,156.95000000,157.44000000,34096.11900000
2025-07-10 07:00:00,157.43000000,158.61000000,157.37000000,158.29000000,74737.66300000
2025-07-10 07:30:00,158.28000000,158.63000000,157.81000000,157.89000000,52978.84700000
2025-07-10 08:00:00,157.90000000,158.92000000,157.82000000,158.51000000,39903.78400000
2025-07-10 08:30:00,158.52000000,159.17000000,158.45000000,158.89000000,40924.44200000
2025-07-10 09:00:00,158.90000000,159.07000000,158.31000000,158.42000000,28261.26400000
2025-07-10 09:30:00,158.43000000,158.44000000,157.95000000,158.06000000,24044.52300000
2025-07-10 10:00:00,158.07000000,158.13000000,157.43000000,157.48000000,24414.85200000
2025-07-10 10:30:00,157.47000000,157.98000000,157.46000000,157.93000000,23388.49400000
2025-07-10 11:00:00,157.93000000,157.93000000,157.16000000,157.60000000,37233.50200000
2025-07-10 11:30:00,157.59000000,157.83000000,157.30000000,157.65000000,24254.57900000
2025-07-10 12:00:00,157.66000000,157.66000000,157.03000000,157.51000000,59112.32900000
2025-07-10 12:30:00,157.52000000,157.61000000,157.16000000,157.47000000,23512.09500000
2025-07-10 13:00:00,157.46000000,158.34000000,157.41000000,158.33000000,40503.22700000
2025-07-10 13:30:00,158.33000000,158.37000000,156.72000000,157.05000000,141292.59800000
2025-07-10 14:00:00,157.05000000,157.70000000,156.22000000,156.42000000,88659.38600000
2025-07-10 14:30:00,156.43000000,156.87000000,156.31000000,156.85000000,45080.85600000
2025-07-10 15:00:00,156.84000000,157.05000000,156.00000000,156.68000000,69148.51400000
2025-07-10 15:30:00,156.69000000,156.81000000,155.64000000,156.43000000,55550.22700000
2025-07-10 16:00:00,156.44000000,158.49000000,156.16000000,158.09000000,123736.53100000
2025-07-10 16:30:00,158.10000000,158.75000000,157.97000000,158.39000000,179772.99200000
2025-07-10 17:00:00,158.39000000,159.66000000,157.96000000,159.22000000,178989.00100000
2025-07-10 17:30:00,159.22000000,161.18000000,159.09000000,160.90000000,148019.04400000
2025-07-10 18:00:00,160.90000000,161.01000000,159.41000000,159.51000000,107733.45200000
2025-07-10 18:30:00,159.51000000,159.57000000,158.33000000,159.07000000,161751.52600000
2025-07-10 19:00:00,159.06000000,159.67000000,158.91000000,159.21000000,62913.43800000
2025-07-10 19:30:00,159.21000000,159.50000000,158.67000000,159.34000000,50300.65200000
2025-07-10 20:00:00,159.34000000,160.13000000,159.23000000,160.04000000,36567.48100000
2025-07-10 20:30:00,160.05000000,160.51000000,159.93000000,160.40000000,36180.39300000
2025-07-10 21:00:00,160.39000000,163.88000000,160.28000000,162.72000000,262888.18800000
2025-07-10 21:30:00,162.72000000,164.33000000,162.58000000,163.83000000,219461.50100000
2025-07-10 22:00:00,163.84000000,165.43000000,163.33000000,163.86000000,213578.78200000
2025-07-10 22:30:00,163.86000000,164.90000000,163.51000000,164.70000000,73503.10400000
