2025-08-30 03:32:19,900 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-08-30 03:32:19,913] A new study created in memory with name: no-name-3544159c-3a5b-4d89-a8d6-a9c1faa36a6e
[I 2025-08-30 03:34:56,336] Trial 10 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 30, 'p_std': 36, 'p_atr': 20, 'p_adx': 9, 'rsi_period': 43, 'ema1': 20, 'ema2': 11, 'slip_atr_k': 0.17659269724961998, 'slip_spread_k': 0.4203900016424724, 'spread_hl_frac': 0.029641411560797543, 'bb_std_mult': 1.007236599635758, 'rsi_os': 29, 'rsi_ob': 73, 'vol_spike': 0.15989067425039813, 'adx_thresh': 27.773819963728357, 'atr_min_pct': 0.013288882118447878, 'atr_max_pct': 0.040595167973854804, 'tp_mult': 2.931981046663581, 'tsl_mult': 0.9668449314612774, 'strategy': 'breakout', 'time_stop': 50, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.9851563953979843, 'edge_cap': 0.6111330126361043}.
[I 2025-08-30 03:34:57,441] Trial 12 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 28, 'p_std': 27, 'p_atr': 21, 'p_adx': 22, 'rsi_period': 65, 'ema1': 13, 'ema2': 16, 'slip_atr_k': 0.13653396367787934, 'slip_spread_k': 0.999449104772856, 'spread_hl_frac': 0.0010637844396882091, 'bb_std_mult': 3.004328752574911, 'rsi_os': 29, 'rsi_ob': 64, 'vol_spike': 0.10556302325973918, 'adx_thresh': 13.058157553518466, 'atr_min_pct': 0.026829285072613382, 'atr_max_pct': 0.1480409176931091, 'tp_mult': 1.4195413417507967, 'tsl_mult': 0.8819699077470696, 'strategy': 'breakout', 'time_stop': 296, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.6768820143516865, 'edge_cap': 0.9619458264092777}.
[I 2025-08-30 03:35:41,190] Trial 15 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 5, 'p_std': 49, 'p_atr': 24, 'p_adx': 30, 'rsi_period': 84, 'ema1': 23, 'ema2': 34, 'slip_atr_k': 0.04050764055190262, 'slip_spread_k': 0.059820729133306105, 'spread_hl_frac': 0.0005323626629408704, 'bb_std_mult': 1.923877134517777, 'rsi_os': 40, 'rsi_ob': 56, 'vol_spike': 0.0823305400083919, 'adx_thresh': 23.773989025646838, 'atr_min_pct': 0.0005811157877277009, 'atr_max_pct': 0.01690915582170223, 'tp_mult': 1.7183049599653888, 'tsl_mult': 0.0013103243907032769, 'strategy': 'mean_reversion', 'time_stop': 294, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.0526943999360181, 'edge_cap': 0.07412893216781774}.
[I 2025-08-30 03:35:42,153] Trial 17 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 47, 'p_std': 45, 'p_atr': 16, 'p_adx': 19, 'rsi_period': 84, 'ema1': 5, 'ema2': 31, 'slip_atr_k': 0.0004427949010851473, 'slip_spread_k': 0.6331458731183377, 'spread_hl_frac': 0.010973095764214206, 'bb_std_mult': 2.1807377399768457, 'rsi_os': 19, 'rsi_ob': 45, 'vol_spike': 0.29593368873126435, 'adx_thresh': 34.84251123558662, 'atr_min_pct': 0.0002772118295519023, 'atr_max_pct': 0.09012813570789946, 'tp_mult': 2.4864953783141135, 'tsl_mult': 0.04029191578101243, 'strategy': 'mean_reversion', 'time_stop': 108, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.01628155700703049, 'edge_cap': 0.21824588418769286}.
[I 2025-08-30 03:35:43,302] Trial 14 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 9, 'p_std': 60, 'p_atr': 21, 'p_adx': 20, 'rsi_period': 82, 'ema1': 24, 'ema2': 36, 'slip_atr_k': 0.0031646480169785773, 'slip_spread_k': 0.07317986808521676, 'spread_hl_frac': 0.0008815657838743898, 'bb_std_mult': 2.0190208568612427, 'rsi_os': 31, 'rsi_ob': 79, 'vol_spike': 0.08450143062581979, 'adx_thresh': 24.724862131840794, 'atr_min_pct': 1.1542458279775042e-05, 'atr_max_pct': 0.010524596243818726, 'tp_mult': 1.6750041360323094, 'tsl_mult': 0.016813910808624488, 'strategy': 'breakout', 'time_stop': 295, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.08300538487705089, 'edge_cap': 0.1356846413175551}.
[I 2025-08-30 03:35:44,652] Trial 13 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 6, 'p_std': 58, 'p_atr': 23, 'p_adx': 19, 'rsi_period': 76, 'ema1': 24, 'ema2': 33, 'slip_atr_k': 0.0025094127754887036, 'slip_spread_k': 0.6307878132129157, 'spread_hl_frac': 0.01015360278261106, 'bb_std_mult': 2.28790664097622, 'rsi_os': 27, 'rsi_ob': 77, 'vol_spike': 0.09654668446481035, 'adx_thresh': 5.291775841942468, 'atr_min_pct': 0.0011781751635109323, 'atr_max_pct': 0.14767117331974072, 'tp_mult': 1.6525054893920852, 'tsl_mult': 0.019866102346476955, 'strategy': 'breakout', 'time_stop': 120, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.027125080656596218, 'edge_cap': 0.10552752084927103}.
[I 2025-08-30 03:35:44,764] Trial 18 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 6, 'p_std': 60, 'p_atr': 24, 'p_adx': 19, 'rsi_period': 71, 'ema1': 23, 'ema2': 43, 'slip_atr_k': 0.09972874404614265, 'slip_spread_k': 0.26170621077304457, 'spread_hl_frac': 0.009811668284121, 'bb_std_mult': 1.2249888869780365, 'rsi_os': 36, 'rsi_ob': 85, 'vol_spike': 0.0020007665287240795, 'adx_thresh': 5.036629211831578, 'atr_min_pct': 0.029876781408973395, 'atr_max_pct': 0.011451523446732642, 'tp_mult': 1.94899618194084, 'tsl_mult': 0.2410846514369261, 'strategy': 'breakout', 'time_stop': 116, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.48920807448869286, 'edge_cap': 0.641788608450307}.
[I 2025-08-30 03:35:46,491] Trial 16 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 5, 'p_std': 48, 'p_atr': 23, 'p_adx': 29, 'rsi_period': 81, 'ema1': 23, 'ema2': 32, 'slip_atr_k': 0.006849118585034633, 'slip_spread_k': 0.10506155147145024, 'spread_hl_frac': 0.0009064677553028595, 'bb_std_mult': 2.0991553046235296, 'rsi_os': 5, 'rsi_ob': 54, 'vol_spike': 0.28906016932025946, 'adx_thresh': 24.06176840063863, 'atr_min_pct': 0.00027181971624454064, 'atr_max_pct': 0.023085535984503212, 'tp_mult': 1.79993153879547, 'tsl_mult': 0.011371667016735532, 'strategy': 'mean_reversion', 'time_stop': 120, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.18180416834468593, 'edge_cap': 0.06461670862136865}.
[I 2025-08-30 03:36:31,160] Trial 19 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 20, 'p_std': 16, 'p_atr': 14, 'p_adx': 27, 'rsi_period': 53, 'ema1': 30, 'ema2': 55, 'slip_atr_k': 0.09039322845894046, 'slip_spread_k': 0.315404302900541, 'spread_hl_frac': 0.010327721949120017, 'bb_std_mult': 1.302269041793365, 'rsi_os': 5, 'rsi_ob': 87, 'vol_spike': 0.020683293875919218, 'adx_thresh': 5.401403353366883, 'atr_min_pct': 0.005864083315947073, 'atr_max_pct': 0.0950668082426459, 'tp_mult': 2.195734119361286, 'tsl_mult': 0.2308378097054533, 'strategy': 'mean_reversion', 'time_stop': 118, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.4406687342824371, 'edge_cap': 0.6360938432121912}.
[I 2025-08-30 03:36:31,790] Trial 21 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 20, 'p_std': 14, 'p_atr': 14, 'p_adx': 30, 'rsi_period': 52, 'ema1': 29, 'ema2': 57, 'slip_atr_k': 0.06400797982644005, 'slip_spread_k': 0.8043699821445982, 'spread_hl_frac': 0.04965653218246602, 'bb_std_mult': 2.5736304512798087, 'rsi_os': 5, 'rsi_ob': 91, 'vol_spike': 0.21523889767349724, 'adx_thresh': 23.165275394952893, 'atr_min_pct': 0.005716174419451502, 'atr_max_pct': 0.09235473523566332, 'tp_mult': 2.2294949350727804, 'tsl_mult': 0.5375483544609249, 'strategy': 'mean_reversion', 'time_stop': 242, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.470390808348266, 'edge_cap': 0.3022057167848726}.
