2025-08-29 16:20:27,587 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-08-29 16:20:27,597] A new study created in memory with name: no-name-3d81513a-89d3-4a57-adcd-7893758b4917
[I 2025-08-29 16:21:13,997] Trial 11 finished with values: [-0.02173861544193656, 0.0217125517563799] and parameters: {'p_sma': 60, 'p_std': 59, 'p_atr': 14, 'p_adx': 22, 'rsi_period': 13, 'ema1': 23, 'ema2': 16, 'slip_atr_k': 0.24955230064308687, 'slip_spread_k': 0.9755400484204997, 'spread_hl_frac': 0.011335239892025962, 'bb_std_mult': 2.649939787221501, 'rsi_os': 23, 'rsi_ob': 95, 'vol_spike': 0.022126453294602555, 'adx_thresh': 13.537747350557318, 'atr_min_pct': 0.026342231812184955, 'atr_max_pct': 0.14583164884362024, 'tp_mult': 1.034346292088031, 'tsl_mult': 0.6316816684091174, 'strategy': 'mean_reversion', 'time_stop': 260, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.23277964438295928, 'edge_cap': 0.052044465594140055}.
[I 2025-08-29 16:21:17,823] Trial 12 finished with values: [-1000000000.0, 0.09837917692279786] and parameters: {'p_sma': 48, 'p_std': 50, 'p_atr': 16, 'p_adx': 23, 'rsi_period': 7, 'ema1': 21, 'ema2': 10, 'slip_atr_k': 0.0005699760332018439, 'slip_spread_k': 0.9988802844221195, 'spread_hl_frac': 0.01186848720288179, 'bb_std_mult': 2.5236456408386267, 'rsi_os': 36, 'rsi_ob': 95, 'vol_spike': 0.05080035252987475, 'adx_thresh': 14.259159056225828, 'atr_min_pct': 0.02268103807108203, 'atr_max_pct': 0.1221388305155946, 'tp_mult': 1.0152321114303904, 'tsl_mult': 0.6086739403901187, 'strategy': 'mean_reversion', 'time_stop': 82, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.02724383264701216, 'edge_cap': 0.054787936252229386}.
[I 2025-08-29 16:21:17,842] Trial 13 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 48, 'p_std': 52, 'p_atr': 16, 'p_adx': 25, 'rsi_period': 10, 'ema1': 20, 'ema2': 14, 'slip_atr_k': 0.2076731452452193, 'slip_spread_k': 0.9267002169484978, 'spread_hl_frac': 0.022396500363707612, 'bb_std_mult': 2.5754634849375106, 'rsi_os': 37, 'rsi_ob': 48, 'vol_spike': 0.0358877261332302, 'adx_thresh': 14.430668026421788, 'atr_min_pct': 0.021094430441127906, 'atr_max_pct': 0.12242690722979235, 'tp_mult': 1.0685047711890718, 'tsl_mult': 0.624047394652147, 'strategy': 'mean_reversion', 'time_stop': 86, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.01617235096829886, 'edge_cap': 0.06618093214268328}.
[I 2025-08-29 16:21:21,844] Trial 14 finished with values: [-1000000000.0, 0.2674956103717179] and parameters: {'p_sma': 48, 'p_std': 60, 'p_atr': 24, 'p_adx': 18, 'rsi_period': 55, 'ema1': 13, 'ema2': 22, 'slip_atr_k': 0.24982240948396317, 'slip_spread_k': 0.3078568776430457, 'spread_hl_frac': 0.008038753200330661, 'bb_std_mult': 1.2017010085207929, 'rsi_os': 21, 'rsi_ob': 62, 'vol_spike': 0.00025125881394821165, 'adx_thresh': 14.344867649732302, 'atr_min_pct': 0.021647147910849183, 'atr_max_pct': 0.11710552186720186, 'tp_mult': 2.143096874583004, 'tsl_mult': 0.5343522811693897, 'strategy': 'mean_reversion', 'time_stop': 241, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.3850272889403398, 'edge_cap': 0.19236462415298655}.
[I 2025-08-29 16:21:25,786] Trial 15 finished with values: [-0.042378949652520315, 0.04234115294187362] and parameters: {'p_sma': 40, 'p_std': 50, 'p_atr': 17, 'p_adx': 25, 'rsi_period': 45, 'ema1': 9, 'ema2': 21, 'slip_atr_k': 0.007350212543579399, 'slip_spread_k': 0.7865949375988104, 'spread_hl_frac': 0.01831789741742846, 'bb_std_mult': 2.7995497365692588, 'rsi_os': 35, 'rsi_ob': 95, 'vol_spike': 0.05756301660257637, 'adx_thresh': 5.845143144900685, 'atr_min_pct': 0.029338342165857283, 'atr_max_pct': 0.1268899367517315, 'tp_mult': 2.504089694291847, 'tsl_mult': 0.8198053482333321, 'strategy': 'breakout', 'time_stop': 182, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.4225827857265908, 'edge_cap': 0.20203966939759255}.
[I 2025-08-29 16:21:29,687] Trial 16 finished with values: [-0.002950528200613589, 0.003239153439314302] and parameters: {'p_sma': 40, 'p_std': 5, 'p_atr': 30, 'p_adx': 30, 'rsi_period': 42, 'ema1': 7, 'ema2': 21, 'slip_atr_k': 0.1990158962084365, 'slip_spread_k': 0.8230657046238047, 'spread_hl_frac': 0.018863439785278394, 'bb_std_mult': 3.0355422203074762, 'rsi_os': 19, 'rsi_ob': 85, 'vol_spike': 0.2061349343253472, 'adx_thresh': 5.116992316063424, 'atr_min_pct': 0.028236957733302072, 'atr_max_pct': 0.048066416514680244, 'tp_mult': 2.477500127385009, 'tsl_mult': 0.786475974725352, 'strategy': 'breakout', 'time_stop': 254, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.42650873302802716, 'edge_cap': 0.19829677783076552}.
[I 2025-08-29 16:21:33,433] Trial 17 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 22, 'p_std': 8, 'p_atr': 30, 'p_adx': 30, 'rsi_period': 59, 'ema1': 5, 'ema2': 23, 'slip_atr_k': 0.189910304143336, 'slip_spread_k': 0.8492342261958238, 'spread_hl_frac': 0.024653566440832116, 'bb_std_mult': 3.118269703777271, 'rsi_os': 18, 'rsi_ob': 86, 'vol_spike': 0.21654353322173409, 'adx_thresh': 9.822233209424212, 'atr_min_pct': 0.02631034318724183, 'atr_max_pct': 0.042393488220509826, 'tp_mult': 2.9781828807851123, 'tsl_mult': 0.7823932531535188, 'strategy': 'breakout', 'time_stop': 254, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.7384932422535175, 'edge_cap': 0.3361383116805796}.
[I 2025-08-29 16:21:37,767] Trial 18 finished with values: [-0.0036882969515380504, 0.003785278954522982] and parameters: {'p_sma': 5, 'p_std': 16, 'p_atr': 27, 'p_adx': 27, 'rsi_period': 35, 'ema1': 9, 'ema2': 35, 'slip_atr_k': 0.19558216033741502, 'slip_spread_k': 0.5438814411092561, 'spread_hl_frac': 0.04301645832842638, 'bb_std_mult': 2.1867446381633626, 'rsi_os': 23, 'rsi_ob': 82, 'vol_spike': 0.20976118647301792, 'adx_thresh': 9.504170508961948, 'atr_min_pct': 0.02975250042774871, 'atr_max_pct': 0.05737033810414578, 'tp_mult': 2.565352599902517, 'tsl_mult': 0.7226081966714746, 'strategy': 'breakout', 'time_stop': 179, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.5845466037726812, 'edge_cap': 0.5676558780377279}.
[I 2025-08-29 16:21:41,962] Trial 19 finished with values: [-1000000000.0, 0.11364224564179842] and parameters: {'p_sma': 38, 'p_std': 17, 'p_atr': 27, 'p_adx': 28, 'rsi_period': 34, 'ema1': 10, 'ema2': 38, 'slip_atr_k': 0.19062758769867005, 'slip_spread_k': 0.5689634313285845, 'spread_hl_frac': 0.0423659885943764, 'bb_std_mult': 2.1822798301619626, 'rsi_os': 31, 'rsi_ob': 83, 'vol_spike': 0.21074578251660675, 'adx_thresh': 5.175552721164571, 'atr_min_pct': 0.018583336321981225, 'atr_max_pct': 0.054747087230002954, 'tp_mult': 2.4553151604924905, 'tsl_mult': 0.9021332997122028, 'strategy': 'breakout', 'time_stop': 192, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.5521398103017383, 'edge_cap': 0.5693559842378915}.
[I 2025-08-29 16:21:45,828] Trial 20 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 39, 'p_std': 16, 'p_atr': 26, 'p_adx': 26, 'rsi_period': 52, 'ema1': 5, 'ema2': 27, 'slip_atr_k': 0.09278467267450055, 'slip_spread_k': 0.739949278489755, 'spread_hl_frac': 0.029680161341830116, 'bb_std_mult': 3.2223699916549857, 'rsi_os': 18, 'rsi_ob': 75, 'vol_spike': 0.2553898591554171, 'adx_thresh': 9.104457863297773, 'atr_min_pct': 0.011364219908441548, 'atr_max_pct': 0.03608261280302896, 'tp_mult': 2.6208990262633938, 'tsl_mult': 0.7338202319273675, 'strategy': 'breakout', 'time_stop': 234, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.48440390045147996, 'edge_cap': 0.20458162584644507}.
[I 2025-08-29 16:21:49,624] Trial 21 finished with values: [-0.0036144416480814456, 0.004190091607204663] and parameters: {'p_sma': 24, 'p_std': 13, 'p_atr': 28, 'p_adx': 30, 'rsi_period': 46, 'ema1': 9, 'ema2': 18, 'slip_atr_k': 0.21503398007949318, 'slip_spread_k': 0.6716485162712731, 'spread_hl_frac': 0.018989118453116002, 'bb_std_mult': 2.9116212138486053, 'rsi_os': 23, 'rsi_ob': 90, 'vol_spike': 0.18570357742552576, 'adx_thresh': 34.06105664005361, 'atr_min_pct': 0.029374396378948814, 'atr_max_pct': 0.0609519120021041, 'tp_mult': 1.9927925746504491, 'tsl_mult': 0.7133335332666882, 'strategy': 'breakout', 'time_stop': 263, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.9192533524605266, 'edge_cap': 0.9858265928010161}.
[I 2025-08-29 16:21:53,431] Trial 22 finished with values: [-0.025366677114975977, 0.025597762754751174] and parameters: {'p_sma': 24, 'p_std': 13, 'p_atr': 27, 'p_adx': 30, 'rsi_period': 45, 'ema1': 8, 'ema2': 35, 'slip_atr_k': 0.20381794117100882, 'slip_spread_k': 0.6870408797577435, 'spread_hl_frac': 0.015790977074284587, 'bb_std_mult': 2.9289538490566587, 'rsi_os': 26, 'rsi_ob': 84, 'vol_spike': 0.18009649167771102, 'adx_thresh': 8.242747454877891, 'atr_min_pct': 0.00012937592538890888, 'atr_max_pct': 0.062321886065166726, 'tp_mult': 2.0023812722626877, 'tsl_mult': 0.213488580505362, 'strategy': 'breakout', 'time_stop': 207, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.7986693311518434, 'edge_cap': 0.9449931563662373}.
[I 2025-08-29 16:21:57,788] Trial 23 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 41, 'p_std': 5, 'p_atr': 30, 'p_adx': 7, 'rsi_period': 67, 'ema1': 11, 'ema2': 10, 'slip_atr_k': 0.17917413418953826, 'slip_spread_k': 0.8734792866097761, 'spread_hl_frac': 0.025629898717154813, 'bb_std_mult': 0.9985392030272919, 'rsi_os': 19, 'rsi_ob': 90, 'vol_spike': 0.1364312506442495, 'adx_thresh': 10.943613852701336, 'atr_min_pct': 0.019947877091987497, 'atr_max_pct': 0.03617436095967348, 'tp_mult': 2.076929484568254, 'tsl_mult': 0.7243205013267326, 'strategy': 'breakout', 'time_stop': 164, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.9451559882195499, 'edge_cap': 0.273436793250451}.
[I 2025-08-29 16:22:01,562] Trial 24 finished with values: [-1000000000.0, 0.22703853426847348] and parameters: {'p_sma': 35, 'p_std': 12, 'p_atr': 22, 'p_adx': 28, 'rsi_period': 33, 'ema1': 15, 'ema2': 60, 'slip_atr_k': 0.1534673341111374, 'slip_spread_k': 0.49241824061116257, 'spread_hl_frac': 0.027173993737623577, 'bb_std_mult': 2.009808045490891, 'rsi_os': 32, 'rsi_ob': 69, 'vol_spike': 0.2611030198609125, 'adx_thresh': 5.044340801481596, 'atr_min_pct': 0.02390286588400279, 'atr_max_pct': 0.05122003045298283, 'tp_mult': 2.6182898712765312, 'tsl_mult': 0.4766870980317596, 'strategy': 'breakout', 'time_stop': 266, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.5513784274034235, 'edge_cap': 0.4781730511826281}.
