2025-08-29 18:29:03,447 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-08-29 18:29:03,458] A new study created in memory with name: no-name-496bd27f-722d-4a62-8aa0-1769b4472c58
[I 2025-08-29 18:30:31,244] Trial 10 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 35, 'p_std': 43, 'p_atr': 10, 'p_adx': 21, 'rsi_period': 49, 'ema1': 12, 'ema2': 13, 'slip_atr_k': 0.06566534308416591, 'slip_spread_k': 0.3502698522923552, 'spread_hl_frac': 0.019478785908626534, 'bb_std_mult': 2.117549742270397, 'rsi_os': 33, 'rsi_ob': 54, 'vol_spike': 0.26044599277293756, 'adx_thresh': 15.92183378917882, 'atr_min_pct': 0.027189391342850328, 'atr_max_pct': 0.11655152671945491, 'tp_mult': 2.811632676155679, 'tsl_mult': 0.4957395221202521, 'strategy': 'mean_reversion', 'time_stop': 220, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.433626836887357, 'edge_cap': 0.5383117011494786}.
[I 2025-08-29 18:30:31,300] Trial 14 finished with values: [-0.033677476159233666, 0.03365657859433749] and parameters: {'p_sma': 49, 'p_std': 6, 'p_atr': 22, 'p_adx': 7, 'rsi_period': 46, 'ema1': 30, 'ema2': 60, 'slip_atr_k': 0.24846488375013223, 'slip_spread_k': 0.003730846629818818, 'spread_hl_frac': 0.02050324404374227, 'bb_std_mult': 2.0525074872981857, 'rsi_os': 20, 'rsi_ob': 47, 'vol_spike': 0.037805185561958526, 'adx_thresh': 5.637281597308329, 'atr_min_pct': 0.00020735273755708404, 'atr_max_pct': 0.013155509349740607, 'tp_mult': 2.997794208740392, 'tsl_mult': 0.6176285932186756, 'strategy': 'breakout', 'time_stop': 105, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.0441718370268285, 'edge_cap': 0.978078006639306}.
[I 2025-08-29 18:30:31,531] Trial 13 finished with values: [-0.03437883251649476, 0.034358466985674144] and parameters: {'p_sma': 48, 'p_std': 5, 'p_atr': 20, 'p_adx': 7, 'rsi_period': 43, 'ema1': 14, 'ema2': 39, 'slip_atr_k': 0.24705182078048232, 'slip_spread_k': 0.11434692492621612, 'spread_hl_frac': 0.039686997016571746, 'bb_std_mult': 2.1021357950367827, 'rsi_os': 20, 'rsi_ob': 92, 'vol_spike': 0.017958757031369843, 'adx_thresh': 5.180238519007755, 'atr_min_pct': 0.0008059469719541137, 'atr_max_pct': 0.017371486316525714, 'tp_mult': 2.8756356119817648, 'tsl_mult': 0.5797290825445927, 'strategy': 'breakout', 'time_stop': 91, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.177151552893204, 'edge_cap': 0.715716097720394}.
[I 2025-08-29 18:30:31,679] Trial 12 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 46, 'p_std': 36, 'p_atr': 19, 'p_adx': 21, 'rsi_period': 57, 'ema1': 9, 'ema2': 18, 'slip_atr_k': 0.1115161422508501, 'slip_spread_k': 0.11612547643506232, 'spread_hl_frac': 0.0006999552983140867, 'bb_std_mult': 2.4665752977760675, 'rsi_os': 35, 'rsi_ob': 94, 'vol_spike': 0.08576143889696355, 'adx_thresh': 25.78201260818085, 'atr_min_pct': 0.0005598159818375936, 'atr_max_pct': 0.12923276411167275, 'tp_mult': 2.0206491308506758, 'tsl_mult': 0.24123262284288105, 'strategy': 'mean_reversion', 'time_stop': 226, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.2811052315092109, 'edge_cap': 0.49141891288154405}.
[I 2025-08-29 18:30:58,852] Trial 18 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 47, 'p_std': 5, 'p_atr': 20, 'p_adx': 16, 'rsi_period': 34, 'ema1': 25, 'ema2': 43, 'slip_atr_k': 0.24318394141888316, 'slip_spread_k': 0.12701770881950014, 'spread_hl_frac': 0.03458239946108964, 'bb_std_mult': 1.9846894678808231, 'rsi_os': 22, 'rsi_ob': 46, 'vol_spike': 0.005796323598125333, 'adx_thresh': 6.4926757740568295, 'atr_min_pct': 0.005941276067736652, 'atr_max_pct': 0.01676614589720365, 'tp_mult': 2.955744166163438, 'tsl_mult': 0.6496207151554028, 'strategy': 'breakout', 'time_stop': 92, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.8849257994558605, 'edge_cap': 0.8001955597531752}.
[I 2025-08-29 18:30:59,303] Trial 16 finished with values: [-0.03522248165346831, 0.03520194866588454] and parameters: {'p_sma': 48, 'p_std': 5, 'p_atr': 19, 'p_adx': 7, 'rsi_period': 49, 'ema1': 25, 'ema2': 60, 'slip_atr_k': 0.24799639548274302, 'slip_spread_k': 0.0010418607524388846, 'spread_hl_frac': 0.035105277268527114, 'bb_std_mult': 2.030738090279426, 'rsi_os': 21, 'rsi_ob': 45, 'vol_spike': 0.021189629367967595, 'adx_thresh': 5.039347477106558, 'atr_min_pct': 8.501124824913942e-05, 'atr_max_pct': 0.015770972505453895, 'tp_mult': 2.9646308583234093, 'tsl_mult': 0.6302178222952072, 'strategy': 'breakout', 'time_stop': 80, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.9990911878179265, 'edge_cap': 0.9767148730178963}.
[I 2025-08-29 18:30:59,589] Trial 17 finished with values: [-0.03127217698649676, 0.03128311656217259] and parameters: {'p_sma': 45, 'p_std': 10, 'p_atr': 20, 'p_adx': 14, 'rsi_period': 50, 'ema1': 25, 'ema2': 41, 'slip_atr_k': 0.24606962361372128, 'slip_spread_k': 0.015560247261161595, 'spread_hl_frac': 0.03657315398862784, 'bb_std_mult': 2.0776516543227337, 'rsi_os': 21, 'rsi_ob': 46, 'vol_spike': 0.029939167594744413, 'adx_thresh': 7.054795703147089, 'atr_min_pct': 0.0006423429332521255, 'atr_max_pct': 0.012063653444192923, 'tp_mult': 2.99149870420892, 'tsl_mult': 0.6643433034768177, 'strategy': 'breakout', 'time_stop': 85, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.8648554381406611, 'edge_cap': 0.8430137848729911}.
[I 2025-08-29 18:30:59,755] Trial 15 finished with values: [-0.031531861452106735, 0.03151083279012643] and parameters: {'p_sma': 48, 'p_std': 6, 'p_atr': 20, 'p_adx': 7, 'rsi_period': 47, 'ema1': 25, 'ema2': 60, 'slip_atr_k': 0.24687960126773884, 'slip_spread_k': 0.029856316524383208, 'spread_hl_frac': 0.036281623110398786, 'bb_std_mult': 1.9988205830662142, 'rsi_os': 21, 'rsi_ob': 47, 'vol_spike': 0.01911636230910334, 'adx_thresh': 6.067208661740501, 'atr_min_pct': 0.0011389543935105858, 'atr_max_pct': 0.022231034584898224, 'tp_mult': 2.906629289350766, 'tsl_mult': 0.6150248627492211, 'strategy': 'breakout', 'time_stop': 91, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.0191102170508763, 'edge_cap': 0.9674638149642354}.
[I 2025-08-29 18:31:27,415] Trial 19 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 45, 'p_std': 59, 'p_atr': 22, 'p_adx': 7, 'rsi_period': 37, 'ema1': 30, 'ema2': 29, 'slip_atr_k': 0.20594892862559808, 'slip_spread_k': 0.0027683809897748714, 'spread_hl_frac': 0.02544095661879002, 'bb_std_mult': 1.977355238264487, 'rsi_os': 8, 'rsi_ob': 57, 'vol_spike': 0.09797534417362239, 'adx_thresh': 18.129576858292435, 'atr_min_pct': 0.0057720727639786595, 'atr_max_pct': 0.012461709787425418, 'tp_mult': 1.1177458938486886, 'tsl_mult': 0.6516825566869529, 'strategy': 'breakout', 'time_stop': 98, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.9214698035549749, 'edge_cap': 0.6668373363066633}.
[I 2025-08-29 18:31:27,427] Trial 20 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 43, 'p_std': 60, 'p_atr': 22, 'p_adx': 17, 'rsi_period': 36, 'ema1': 30, 'ema2': 30, 'slip_atr_k': 0.2040826356610878, 'slip_spread_k': 0.11225456488108077, 'spread_hl_frac': 0.026865562462390004, 'bb_std_mult': 3.504208723422195, 'rsi_os': 7, 'rsi_ob': 57, 'vol_spike': 0.10761971056839385, 'adx_thresh': 16.876226216277725, 'atr_min_pct': 0.006387672826110467, 'atr_max_pct': 0.011677224371963524, 'tp_mult': 1.0295039403558208, 'tsl_mult': 0.6658344315563456, 'strategy': 'breakout', 'time_stop': 109, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.8625809347881594, 'edge_cap': 0.6552557281498623}.
[I 2025-08-29 18:31:27,861] Trial 21 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 6, 'p_std': 59, 'p_atr': 15, 'p_adx': 17, 'rsi_period': 61, 'ema1': 30, 'ema2': 26, 'slip_atr_k': 0.009996906431329958, 'slip_spread_k': 0.20120338411988822, 'spread_hl_frac': 0.048394372128670406, 'bb_std_mult': 3.5516539606478736, 'rsi_os': 6, 'rsi_ob': 58, 'vol_spike': 0.06968180498135296, 'adx_thresh': 19.15319667268505, 'atr_min_pct': 0.008283200979846663, 'atr_max_pct': 0.028910842473915288, 'tp_mult': 1.1310564529714169, 'tsl_mult': 0.9984481170733732, 'strategy': 'breakout', 'time_stop': 5, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.8196043845832788, 'edge_cap': 0.6401886103146099}.
