month,p24_short16_best_min180,p24_short16_capacity_hardCV,p24_short16_capacity_trials600,p24_short16_closefill,p24_short16_coststress_10bp,p24_short16_ddcap3,p24_short16_no_regime,p24_short16_pareto_topk5,p24_short_16_20_capacity,p24_short_16_20_capacity_risk18,p25_long_midday_probe,p25_short16_cap15,p25_short16_ddcap3,p25_short16_ddcap5,p25_short16_hardcv,p25_short16_maxnotional60,p25_short16_pareto,p25_short16_risk15,p25_short16_risk18,p25_short16_risk20,p25_short16_slip15bp,p25_short16_slip20bp,p25_short20_check,p26_short16_20_combo_risk20_maxnot60,p26_short16_risk20_maxnot60,p26_short16_risk20_maxnot60_cap012,p26_short16_risk20_maxnot60_cap015,p26_short16_risk20_maxnot60_seed11_hardcv,p26_short16_risk20_maxnot60_seed7_hardcv,p26_short16_risk20_maxnot60_slip0.0015,p26_short16_risk20_maxnot60_slip0.0020
2019-09-30,0.0,4.867072769999855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-31,0.0,18.972448499995988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-30,0.0,101.21351637999815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-31,2.4687783800002827,86.83824284999704,0.2708489499999783,0.2692654499999977,2.5359603200003886,2.0138910999999884,2.114813279999139,1.6820396799995436,3.386984669999152,-2.3838827099988316,-4.827426969999653,1.7485011000005177,1.5229716800002306,1.7132893499986226,0.1924457800000297,1.9988209999987916,1.386313670000524,2.5400346599997077,1.9401194700005615,2.0101589600009158,1.7146098100007423,0.26413504000004656,-1.6740262499999976,5.393778789999542,0.6645784899993175,1.0431599999994918,1.9175932800004212,0.2747581800000233,2.4855041599987975,2.244074580000316,2.4644298999993
2020-01-31,193.009663119997,293.2818060399967,189.43092675999594,-38.759101420000626,216.72741434999958,195.48292832000067,204.09749880000072,209.40018847000047,189.69112947999704,225.0089043500005,-73.26924195000069,197.05636344000013,207.91395189999963,209.76656864999703,177.13804378999706,220.8828499099986,192.5243457300044,193.46573776999867,196.472623030001,200.17680933000085,196.66291449000357,185.81121670000195,-38.65278973999914,116.6339092999974,211.18446536999986,233.81322336000056,237.13203065000124,222.40127869000185,247.56653687999767,239.04714466000016,248.99562505999998
2020-02-29,162.18191913999505,261.48453237999945,157.6456049800003,-59.87294452999914,186.35085344000186,164.43727023000437,179.31556699999913,200.9490767100022,176.65187664999883,233.34986295000328,-128.25922619999923,187.21678925000043,182.02016671999914,183.99192954999734,140.92502935999642,210.45780585999765,176.84002063000491,163.11186467999815,171.47376009000155,192.99791258999977,171.06031268000186,140.7117964400021,-11.167832819998786,130.2672107700053,178.38241430999977,220.070735169999,226.09751056999784,187.0965218400028,219.1240862399959,203.7107167499999,241.6560268699944
2020-03-31,453.16412194999714,609.6368149099978,298.2810800599985,-41.21723265999704,536.8692567799981,391.4344480800024,477.02654460000207,464.58393751999984,676.8621521200032,654.7368087200025,-42.457877389999865,407.96843877000083,464.17542190000404,467.4816491299972,380.19149161999195,434.83476003999726,233.93131491000443,422.077493940002,441.3391701199997,434.05583486000114,424.56794533000107,427.9050831500019,176.4422230699989,664.5523662199998,463.1173398999953,480.71779745000185,504.5139518299974,549.0571131400014,554.6385462899964,549.3262790900043,524.7156886999937
2020-04-30,546.0678357599975,700.592664740001,386.1110152899975,28.283028620000778,631.283020819999,432.2527276400033,528.6798464400033,562.3256587799993,774.321225859997,784.053500690002,-109.78864813999907,506.3015739499984,566.6513598600025,571.3448533299982,474.6127959199937,547.3125876799985,313.36060682000476,515.2920723600007,490.445712880001,544.7398335600008,515.219252240001,513.205015660001,209.55595691999838,846.7597462900031,504.38129529999577,589.5706889300034,639.8845915199975,656.6789880200004,620.8472630099943,656.3015496400008,643.6820941499963
2020-05-31,537.0619521899947,694.3867599100025,399.7334443699988,18.474893660000177,621.6127332299968,426.2057197900041,519.985244410005,557.3278196699983,793.2780433899936,840.1454877000053,-193.82675078999944,494.5662374299964,561.255820600006,566.4364070699962,528.5742163199908,541.3736792299974,307.57135908000515,500.75130282000043,481.1411300500011,540.8556519899968,510.55994906000205,488.2737633399974,535.5949933899994,916.3120383700068,492.4388921400002,579.0696031500017,632.9922276599982,669.2470103800022,610.9200151999937,643.6016958799981,633.5021898499942
2020-06-30,512.5981470599924,668.5857414699949,331.87288283000197,-25.51480407999901,597.4186169699927,400.72284415000485,496.55294189000824,532.4956994300013,704.192555629997,769.5502070400041,-229.3176785599981,469.3625067899956,545.4105901600062,550.9805214899997,512.6429050499937,512.8337426900041,243.09709242000346,476.68991404000064,457.31947796000355,526.3555914499923,495.2617387699976,464.50325986999883,507.58479293999955,886.1431059100021,459.78758053000035,546.1357665700052,613.7411944499943,642.8862571399994,583.7575656299929,613.7554862499981,606.1846073499951
