month,p24_short16_best_min180,p24_short16_capacity_hardCV,p24_short16_capacity_trials600,p24_short16_closefill,p24_short16_coststress_10bp,p24_short16_ddcap3,p24_short16_no_regime,p24_short16_pareto_topk5,p24_short_16_20_capacity,p24_short_16_20_capacity_risk18,p25_long_midday_probe,p25_short16_cap15,p25_short16_ddcap3,p25_short16_ddcap5,p25_short16_hardcv,p25_short16_maxnotional60,p25_short16_pareto,p25_short16_risk15,p25_short16_risk18,p25_short16_risk20,p25_short16_slip15bp,p25_short16_slip20bp,p25_short20_check,p26_short16_20_combo_risk20_maxnot60,p26_short16_risk20_maxnot60,p26_short16_risk20_maxnot60_cap012,p26_short16_risk20_maxnot60_cap015,p26_short16_risk20_maxnot60_seed11_hardcv,p26_short16_risk20_maxnot60_seed7_hardcv,p26_short16_risk20_maxnot60_slip0.0015,p26_short16_risk20_maxnot60_slip0.0020
2019-09-30,0.0,4.867072769999855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-31,0.0,14.105375729996132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-30,0.0,82.24106788000216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-31,2.4687783800002827,-14.37527353000111,0.2708489499999783,0.2692654499999977,2.5359603200003886,2.0138910999999884,2.114813279999139,1.6820396799995436,3.386984669999152,-2.3838827099988316,-4.827426969999653,1.7485011000005177,1.5229716800002306,1.7132893499986226,0.1924457800000297,1.9988209999987916,1.386313670000524,2.5400346599997077,1.9401194700005615,2.0101589600009158,1.7146098100007423,0.26413504000004656,-1.6740262499999976,5.393778789999542,0.6645784899993175,1.0431599999994918,1.9175932800004212,0.2747581800000233,2.4855041599987975,2.244074580000316,2.4644298999993
2020-01-31,190.5408847399967,206.44356318999962,189.16007780999595,-39.028366870000625,214.1914540299992,193.46903722000067,201.98268552000158,207.71814879000092,186.3041448099979,227.39278705999934,-68.44181498000104,195.30786233999962,206.3909802199994,208.0532792999984,176.945598009997,218.8840289099998,191.13803206000387,190.92570310999895,194.53250356000044,198.16665036999993,194.94830468000282,185.5470816600019,-36.978763489999146,111.24013050999785,210.51988688000054,232.77006336000107,235.2144373700008,222.12652051000182,245.08103271999886,236.80307007999983,246.5311951600007
2020-02-29,-30.827743980001948,-31.797273659997227,-31.78532177999566,-21.113843109998513,-30.37656090999771,-31.045658089996287,-24.78193180000158,-8.451111759998263,-13.039252829998228,8.340958600002779,-54.98998424999855,-9.839574189999702,-25.893785180000485,-25.774639099999703,-36.213014430000655,-10.425044050000954,-15.684325099999473,-30.353873090000526,-24.998862939999444,-7.178896740001067,-25.602601810001712,-45.09942025999985,27.484956920000357,13.633301470007911,-32.80205106000009,-13.742488190001566,-11.034520080003391,-35.30475684999906,-28.442450640001777,-35.33642791000027,-7.339598190005583
2020-03-31,290.9822028100021,348.1522825299984,140.6354750799982,18.6557118700021,350.5184033399962,226.99717784999805,297.71097760000293,263.63486080999763,500.2102754700044,421.3869457699993,85.80134880999937,220.75164952000037,282.15525518000493,283.48971957999987,239.26646225999554,224.3769541799996,57.09129427999952,258.9656292600039,269.8654100299982,241.05792227000134,253.5076326499992,287.19328670999977,187.61005588999768,534.2851554499945,284.7349255899955,260.64706228000284,278.41644125999954,361.9605912999986,335.5144600500005,345.6155623400044,283.0596618299993
2020-04-30,92.90371381000035,90.95584983000319,87.82993522999904,69.50026127999782,94.41376404000093,40.81827956000086,51.65330184000126,97.74172125999951,97.45907373999378,129.3166919699995,-67.3307707499992,98.33313517999757,102.47593795999845,103.863204200001,94.42130430000171,112.47782764000121,79.42929191000033,93.21457841999874,49.10654276000127,110.68399869999965,90.65130690999995,85.29993250999914,33.11373384999949,182.20738007000327,41.263955400000505,108.85289148000156,135.3706396900001,107.62187487999887,66.20871671999797,106.97527054999644,118.96640545000253
2020-05-31,-9.005883570002807,-6.2059048299984925,13.622429080001256,-9.8081349600006,-9.670287590002225,-6.047007849999192,-8.694602029998293,-4.997839110001007,18.956817529996723,56.09198701000331,-84.03810265000035,-11.735336520001992,-5.39553925999642,-4.908446260001967,53.96142039999712,-5.9389084500011675,-5.7892477399996105,-14.540769540000273,-9.304582829999909,-3.884181570003976,-4.65930317999889,-24.9312523200036,326.03903647000107,69.55229208000372,-11.942403159995603,-10.501085780001592,-6.892363859999243,12.56802236000179,-9.927247810000576,-12.699853760002647,-10.179904300001986
2020-06-30,-24.46380513000239,-25.801018440007656,-67.86056153999682,-43.98969773999919,-24.194116260004037,-25.48287563999921,-23.4323025199967,-24.832120239997035,-89.08548775999667,-70.59528066000117,-35.49092776999864,-25.203730640000806,-15.845230439999824,-15.455885579996615,-15.931311269997085,-28.53993653999326,-64.47426666000169,-24.061388779999813,-23.82165208999755,-14.500060540004485,-15.298210290004471,-23.770503469998545,-28.010200449999886,-30.16893246000476,-32.65131160999982,-32.93383657999657,-19.251033210003918,-26.36075324000275,-27.162449570000835,-29.84620963000011,-27.317582499999187
